Date,Name,High,Low,Open,Close,Adj Close
2010-06-03,AMZN,129.14999389648438,124.8499984741211,126.25,128.75999450683594,128.75999450683594
2010-06-04,AMZN,128.1999969482422,122.18000030517578,126.33000183105469,122.7699966430664,122.7699966430664
2010-06-07,AMZN,126.61000061035156,121.66999816894531,125.83999633789062,122.01000213623047,122.01000213623047
2010-06-08,AMZN,122.0,115.80000305175781,122.0,118.83999633789062,118.83999633789062
2010-06-09,AMZN,121.47000122070312,117.36000061035156,120.30999755859375,117.91000366210938,117.91000366210938
2010-06-10,AMZN,123.5,119.19999694824219,120.0,123.20999908447266,123.20999908447266
2010-06-11,AMZN,123.52999877929688,120.29000091552734,121.38999938964844,123.02999877929688,123.02999877929688
2010-06-14,AMZN,125.69999694824219,123.5,124.23999786376953,123.83000183105469,123.83000183105469
2010-06-15,AMZN,126.91999816894531,122.5,123.19999694824219,126.83999633789062,126.83999633789062
2010-06-16,AMZN,127.9800033569336,125.36000061035156,125.38999938964844,126.9000015258789,126.9000015258789
2010-06-17,AMZN,127.80000305175781,124.69000244140625,126.73999786376953,125.88999938964844,125.88999938964844
2010-06-18,AMZN,127.4800033569336,125.06999969482422,126.4800033569336,125.83000183105469,125.83000183105469
2010-06-21,AMZN,127.4800033569336,121.41000366210938,126.79000091552734,122.55000305175781,122.55000305175781
2010-06-22,AMZN,125.2300033569336,121.55000305175781,122.6500015258789,122.30999755859375,122.30999755859375
2010-06-23,AMZN,123.22000122070312,120.04000091552734,122.11000061035156,121.44999694824219,121.44999694824219
2010-06-24,AMZN,120.8499984741211,116.80000305175781,120.61000061035156,118.33000183105469,118.33000183105469
2010-06-25,AMZN,121.76000213623047,117.62999725341797,118.13999938964844,121.0,121.0
2010-06-28,AMZN,120.04000091552734,117.0999984741211,118.8499984741211,117.80000305175781,117.80000305175781
2010-06-29,AMZN,116.4800033569336,106.01000213623047,116.26000213623047,108.61000061035156,108.61000061035156
2010-06-30,AMZN,112.68000030517578,108.11000061035156,108.58000183105469,109.26000213623047,109.26000213623047
2010-07-01,AMZN,111.69000244140625,106.69999694824219,108.9000015258789,110.95999908447266,110.95999908447266
2010-07-02,AMZN,111.29000091552734,108.55999755859375,110.91999816894531,109.13999938964844,109.13999938964844
2010-07-06,AMZN,112.52999877929688,109.0,110.6500015258789,110.05999755859375,110.05999755859375
