Date,Name,High,Low,Open,Close,Adj Close
2010-06-03,NFLX,16.381427764892578,15.701428413391113,15.99142837524414,15.978571891784668,15.978571891784668
2010-06-04,NFLX,16.385713577270508,15.3628568649292,15.697142601013184,15.682857513427734,15.682857513427734
2010-06-07,NFLX,16.177143096923828,15.321428298950195,15.685714721679688,15.59428596496582,15.59428596496582
2010-06-08,NFLX,16.071428298950195,15.328571319580078,15.867142677307129,15.761428833007812,15.761428833007812
2010-06-09,NFLX,16.838571548461914,16.031429290771484,16.139999389648438,16.489999771118164,16.489999771118164
2010-06-10,NFLX,17.125713348388672,16.624286651611328,16.860000610351562,16.95142936706543,16.95142936706543
2010-06-11,NFLX,17.364286422729492,16.657142639160156,16.78285789489746,17.24142837524414,17.24142837524414
2010-06-14,NFLX,18.280000686645508,17.542856216430664,17.628570556640625,18.11571502685547,18.11571502685547
2010-06-15,NFLX,17.88428497314453,17.461427688598633,17.85714340209961,17.64285659790039,17.64285659790039
2010-06-16,NFLX,18.0,17.145713806152344,17.542856216430664,17.809999465942383,17.809999465942383
2010-06-17,NFLX,18.257143020629883,17.77142906188965,17.935714721679688,17.979999542236328,17.979999542236328
2010-06-18,NFLX,18.157142639160156,17.788572311401367,17.989999771118164,18.059999465942383,18.059999465942383
2010-06-21,NFLX,18.100000381469727,16.77142906188965,18.005714416503906,16.998571395874023,16.998571395874023
2010-06-22,NFLX,17.200000762939453,16.297142028808594,17.07428550720215,16.632856369018555,16.632856369018555
2010-06-23,NFLX,17.0,16.288572311401367,16.821428298950195,16.82428550720215,16.82428550720215
2010-06-24,NFLX,16.837142944335938,16.37285804748535,16.6971435546875,16.464284896850586,16.464284896850586
2010-06-25,NFLX,16.945714950561523,16.071428298950195,16.48714256286621,16.854286193847656,16.854286193847656
2010-06-28,NFLX,17.125713348388672,16.60285758972168,16.952857971191406,16.801427841186523,16.801427841186523
2010-06-29,NFLX,16.547142028808594,16.010000228881836,16.488571166992188,16.082857131958008,16.082857131958008
2010-06-30,NFLX,16.18428611755371,15.427143096923828,15.712857246398926,15.521428108215332,15.521428108215332
2010-07-01,NFLX,15.779999732971191,14.752857208251953,15.54285717010498,15.665714263916016,15.665714263916016
