Date,High,Low,Open,Close,Volume,Adj Close,direction,prevclose
08-07-2010,17.52000046,15.56999969,16.13999939,17.45999908,7711400,17.45999908,Up,15.80000019
13-07-2010,18.63999939,16.89999962,17.38999939,18.13999939,2680100,18.13999939,Up,17.04999924
14-07-2010,20.14999962,17.76000023,17.94000053,19.84000015,4195200,19.84000015,Up,18.13999939
15-07-2010,21.5,19,19.94000053,19.88999939,3739800,19.88999939,Up,19.84000015
16-07-2010,21.29999924,20.04999924,20.70000076,20.63999939,2621300,20.63999939,Up,19.88999939
19-07-2010,22.25,20.92000008,21.37000084,21.90999985,2486500,21.90999985,Up,20.63999939
22-07-2010,21.25,20.37000084,20.5,21,957800,21,Up,20.21999931
23-07-2010,21.55999947,21.05999947,21.19000053,21.29000092,653600,21.29000092,Up,21
28-07-2010,20.89999962,20.51000023,20.54999924,20.71999931,467200,20.71999931,Up,20.54999924
02-08-2010,20.96999931,20.32999992,20.5,20.92000008,718100,20.92000008,Up,19.94000053
03-08-2010,21.95000076,20.81999969,21,21.95000076,1230500,21.95000076,Up,20.92000008
09-08-2010,19.97999954,19.45000076,19.89999962,19.60000038,812700,19.60000038,Up,19.59000015
13-08-2010,18.45000076,17.65999985,18.18000031,18.31999969,634000,18.31999969,Up,17.60000038
16-08-2010,18.79999924,18.26000023,18.45000076,18.78000069,485800,18.78000069,Up,18.31999969
17-08-2010,19.39999962,18.78000069,18.95999908,19.14999962,447900,19.14999962,Up,18.78000069
19-08-2010,19.25,18.32999992,18.54000092,18.79000092,579100,18.79000092,Up,18.77000046
20-08-2010,19.11000061,18.51000023,18.64999962,19.10000038,296000,19.10000038,Up,18.79000092
23-08-2010,20.38999939,19,19.09000015,20.12999916,1088100,20.12999916,Up,19.10000038
25-08-2010,19.97999954,18.55999947,19.15999985,19.89999962,503300,19.89999962,Up,19.20000076
30-08-2010,20.19000053,19.61000061,19.70000076,19.87000084,732800,19.87000084,Up,19.70000076
01-09-2010,20.69000053,19.60000038,19.62000084,20.45000076,494900,20.45000076,Up,19.47999954
02-09-2010,21.23999977,20.30999947,20.37000084,21.05999947,487100,21.05999947,Up,20.45000076
08-09-2010,20.95000076,20.60000038,20.65999985,20.89999962,288400,20.89999962,Up,20.54000092
13-09-2010,20.89999962,20.5,20.88999939,20.71999931,360800,20.71999931,Up,20.17000008
14-09-2010,21.60000038,20.53000069,20.54000092,21.12000084,654700,21.12000084,Up,20.71999931
15-09-2010,22,20.79000092,20.97999954,21.97999954,684600,21.97999954,Up,21.12000084
20-09-2010,21.35000038,20.15999985,20.67000008,21.05999947,947500,21.05999947,Up,20.22999954
24-09-2010,20.19000053,19.64999962,19.95000076,20.10000038,578900,20.10000038,Up,19.55999947
27-09-2010,20.80999947,20.04999924,20.39999962,20.53000069,418600,20.53000069,Up,20.10000038
28-09-2010,21.48999977,20.76000023,21.04000092,21.39999962,1214500,21.39999962,Up,20.53000069
29-09-2010,22.03000069,21.12999916,21.19000053,21.97999954,1969300,21.97999954,Up,21.39999962
01-10-2010,20.75,20.30999947,20.69000053,20.60000038,597700,20.60000038,Up,20.40999985
04-10-2010,21.17000008,20.29999924,20.43000031,20.98999977,643600,20.98999977,Up,20.60000038
05-10-2010,21.28000069,21.01000023,21.14999962,21.12000084,332000,21.12000084,Up,20.98999977
13-10-2010,20.85000038,20.36000061,20.63999939,20.54000092,318200,20.54000092,Up,20.23999977
14-10-2010,21.03000069,20.39999962,21,20.75,294800,20.75,Up,20.54000092
20-10-2010,20.69000053,20.04000092,20.15999985,20.64999962,312500,20.64999962,Up,20.04999924
21-10-2010,20.95000076,20.45000076,20.61000061,20.75,417100,20.75,Up,20.64999962
25-10-2010,20.97999954,20.72999954,20.94000053,20.85000038,118500,20.85000038,Up,20.71999931
26-10-2010,21.87000084,20.51000023,20.79999924,21.36000061,660900,21.36000061,Up,20.85000038
28-10-2010,21.5,20.95999908,21.38999939,21.19000053,224200,21.19000053,Up,21
29-10-2010,21.85000038,21.04999924,21.13999939,21.84000015,280600,21.84000015,Up,21.19000053
03-11-2010,22.5,21.15999985,21.28000069,21.77000046,372600,21.77000046,Up,21.25
04-11-2010,25.32999992,22.14999962,22.60000038,24.89999962,1874000,24.89999962,Up,21.77000046
08-11-2010,25,24.03000069,24.5,24.97999954,509500,24.97999954,Up,24.44000053
10-11-2010,29.96999931,24.04999924,24.47999954,29.36000061,3060500,29.36000061,Up,24.62999916
12-11-2010,30.5,28.06999969,28.25,29.84000015,2729100,29.84000015,Up,28.04000092
15-11-2010,32.93999863,30.21999931,30.21999931,30.79999924,2622900,30.79999924,Up,29.84000015
